Nº;Etapa;Mês/Ano;Fase;Período;Data;Ponto;Método;Período de Coleta;Espécie;Nº ind;Ordem;Família;Sub-família;Tribo;Coletor;Observação
320;29;01/02/2022;Operação;Seca;23/02/2022;5;Sugador/Puçá;matutino;Sabethes (Sabethes) albiprivus;3;Diptera;Culicidae;Culicinae;Sabethini;wednei;
321;29;01/02/2022;Operação;Seca;23/02/2022;5;Sugador/Puçá;matutino;Haemagogus (Con.) leucocelaenus;1;Diptera;Culicidae;Culicinae;Aedini;wednei;
322;29;01/02/2022;Operação;Seca;23/02/2022;5;Sugador/Puçá;matutino;Sabethes spp.;1;Diptera;Culicidae;Culicinae;Sabethini;wednei;
323;29;01/02/2022;Operação;Seca;27/02/2022;6;Sugador/Puçá;matutino;Aedes albopictus;2;Diptera;Culicidae;Culicinae;Aedini;wednei;
324;30;01/05/2022;Operação;Seca;27/05/2022;1;Sugador/Puçá;noturno;Anopheles (Nys.) triannulatus;2;Diptera;Culicidae;Anophelinae;Anophelini;Rodrigo;
325;30;01/05/2022;Operação;Seca;27/05/2022;1;Sugador/Puçá;noturno;Culex spp.;1;Diptera;Culicidae;Culicinae;Culicini;Rodrigo;
326;30;01/05/2022;Operação;Seca;28/05/2022;1;Sugador/Puçá;matutino;Culex spp.;3;Diptera;Culicidae;Culicinae;Culicini;Rodrigo;
327;30;01/05/2022;Operação;Seca;25/05/2022;3;Sugador/Puçá;noturno;Simulium spp.;5;Diptera;Simuliidae;Simuliinae;;Rodrigo;
328;30;01/05/2022;Operação;Seca;25/05/2022;3;Sugador/Puçá;noturno;Aedes scapularis;9;Diptera;Culicidae;Culicinae;Aedini;Rodrigo;
329;30;01/05/2022;Operação;Seca;26/05/2022;3;Sugador/Puçá;matutino;Simulium spp.;2;Diptera;Simuliidae;Simuliinae;;Rodrigo;
330;30;01/05/2022;Operação;Seca;26/05/2022;3;Sugador/Puçá;matutino;Aedes albopictus;3;Diptera;Culicidae;Culicinae;Aedini;Rodrigo;
331;30;01/05/2022;Operação;Seca;27/05/2022;4;Sugador/Puçá;noturno;Anopheles (Nys.) triannulatus;1;Diptera;Culicidae;Anophelinae;Anophelini;Rodrigo;
332;30;01/05/2022;Operação;Seca;27/05/2022;4;Sugador/Puçá;noturno;Aedes scapularis;2;Diptera;Culicidae;Culicinae;Aedini;Rodrigo;
333;30;01/05/2022;Operação;Seca;27/05/2022;4;Sugador/Puçá;noturno;Simulium spp.;3;Diptera;Simuliidae;Simuliinae;;Rodrigo;
334;30;01/05/2022;Operação;Seca;27/05/2022;4;Sugador/Puçá;noturno;Sabethes (Sabethes) albiprivus;1;Diptera;Culicidae;Culicinae;Sabethini;Rodrigo;
335;30;01/05/2022;Operação;Seca;29/05/2022;4;Sugador/Puçá;matutino;Simulium spp.;2;Diptera;Simuliidae;Simuliinae;;Rodrigo;
336;30;01/05/2022;Operação;Seca;26/05/2022;5;Sugador/Puçá;noturno;Simulium spp.;3;Diptera;Simuliidae;Simuliinae;;Rodrigo;
337;30;01/05/2022;Operação;Seca;26/05/2022;5;Sugador/Puçá;noturno;Anopheles (Nys.) argyritarsis argyritarsis;1;Diptera;Culicidae;Anophelinae;Anophelini;Rodrigo;
338;30;01/05/2022;Operação;Seca;26/05/2022;5;Sugador/Puçá;noturno;Anopheles (Nys.) spp.;1;Diptera;Culicidae;Anophelinae;Anophelini;Rodrigo;
339;30;01/05/2022;Operação;Seca;25/05/2022;6;Sugador/Puçá;noturno;Simulium spp.;2;Diptera;Simuliidae;Simuliinae;;Rodrigo;
340;30;01/05/2022;Operação;Seca;25/05/2022;6;Sugador/Puçá;noturno;Culicoides spp.;5;Diptera;Ceratopogonidae;;;Rodrigo;
341;31;01/08/2022;Operação;Seca;17/08/2022;2;Sugador/Puçá;noturno;Simulium spp.;3;Diptera;Simuliidae;Simuliinae;;Victoria Sousa;
342;31;01/08/2022;Operação;Seca;19/08/2022;3;Sugador/Puçá;matutino;Simulium spp.;4;Diptera;Simuliidae;Simuliinae;;Victoria Sousa;
343;31;01/08/2022;Operação;Seca;18/08/2022;5;Sugador/Puçá;matutino;Simulium spp.;3;Diptera;Simuliidae;Simuliinae;;Victoria Sousa;
344;32;01/11/2022;Operação;chuva;06/11/2022;1;Sugador/Puçá;noturno;Aedes albopictus;4;Diptera;Culicidae;Culicinae;Aedini;;
345;32;01/11/2022;Operação;chuva;06/11/2022;1;Sugador/Puçá;noturno;Simulium spp.;2;Diptera;Simuliidae;Simuliinae;;;
346;32;01/11/2022;Operação;chuva;05/11/2022;2;Sugador/Puçá;noturno;Psorophora (Janthinossoma) albipes;2;Diptera;Culicidae;Culicinae;Aedini;;
347;32;01/11/2022;Operação;chuva;05/11/2022;2;Sugador/Puçá;noturno;Aedes albopictus;1;Diptera;Culicidae;Culicinae;Aedini;;
348;32;01/11/2022;Operação;chuva;09/11/2022;4;Sugador/Puçá;matutino;Aedes albopictus;4;Diptera;Culicidae;Culicinae;Aedini;;
349;32;01/11/2022;Operação;chuva;08/11/2022;4;Sugador/Puçá;noturno;Aedes albopictus;10;Diptera;Culicidae;Culicinae;Aedini;;
350;32;01/11/2022;Operação;chuva;08/11/2022;4;Sugador/Puçá;noturno;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;;
351;32;01/11/2022;Operação;chuva;04/11/2022;5;Sugador/Puçá;noturno;Anopheles (Nys.) argyritarsis argyritarsis;1;Diptera;Culicidae;Anophelinae;Anophelini;;
352;32;01/11/2022;Operação;chuva;07/11/2022;6;Sugador/Puçá;noturno;Simulium spp.;1;Diptera;Simuliidae;Simuliinae;;;
353;32;01/11/2022;Operação;chuva;07/11/2022;6;CDC;noturno;Phlebotominae sp.;1;Diptera;Psychodidae;Phlebotominae;;;
354;33;fev/23;Operação;Chuva;23/02/2023;2;Sugador/Puçá;noturno;Aedes scapularis;3;Diptera;Culicidae;Culicinae;Aedini;;
355;33;fev/23;Operação;Chuva;23/02/2023;2;Sugador/Puçá;noturno;Aedes albopictus;6;Diptera;Culicidae;Culicinae;Aedini;;
356;33;fev/23;Operação;Chuva;20/02/2023;3;Sugador/Puçá;matutino;Aedes scapularis;11;Diptera;Culicidae;Culicinae;Aedini;;
357;33;fev/23;Operação;Chuva;20/02/2023;3;CDC;noturno;Phlebotominae sp.;3;Diptera;Psychodidae;Phlebotominae;;;
358;33;fev/23;Operação;Chuva;21/03/2023;4;CDC;noturno;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;;
359;33;fev/23;Operação;Chuva;21/02/2023;4;Sugador/Puçá;noturno;Aedes scapularis;6;Diptera;Culicidae;Culicinae;Aedini;;
360;33;fev/23;Operação;Chuva;23/03/2023;5;CDC;noturno;Culex spp.;1;Diptera;Culicidae;Culicinae;Culicini;Rodrigo;
361;34;mai/23;Operação;seca;07/05/2023;1;BS;noturno;Aedes albopictus;2;Diptera;Culicidae;Culicinae;Aedini;lucas;
362;34;mai/23;Operação;seca;07/05/2023;1;Sugador/Puçá;noturno;Aedes albopictus;7;Diptera;Culicidae;Culicinae;Aedini;lucas;
363;34;mai/23;Operação;seca;07/05/2023;1;Sugador/Puçá;noturno;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;lucas;
364;34;mai/23;Operação;seca;07/05/2023;1;Sugador/Puçá;noturno;Simulium spp.;1;Diptera;Simuliidae;Simuliinae;;lucas;
365;34;mai/23;Operação;seca;07/05/2023;2;Sugador/Puçá;matutino;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;lucas;
366;34;mai/23;Operação;seca;06/05/2023;2;Sugador/Puçá;noturno;Aedes albopictus;4;Diptera;Culicidae;Culicinae;Aedini;lucas;
367;34;mai/23;Operação;seca;06/05/2023;2;Sugador/Puçá;noturno;Simulium spp.;1;Diptera;Simuliidae;Simuliinae;;lucas;
368;34;mai/23;Operação;seca;04/05/2023;3;BS;noturno;Anopheles (Nys.) darlingi;1;Diptera;Culicidae;Anophelinae;Anophelini;lucas;
369;34;mai/23;Operação;seca;04/05/2023;3;BS;noturno;Anopheles (Nys.) benarrochi;1;Diptera;Culicidae;Anophelinae;Anophelini;lucas;
370;34;mai/23;Operação;seca;03/05/2023;4;Sugador/Puçá;noturno;Culex spp.;1;Diptera;Culicidae;Culicinae;Culicini;lucas;
371;34;mai/23;Operação;seca;03/05/2023;4;Sugador/Puçá;matutino;Culex spp.;1;Diptera;Culicidae;Culicinae;Culicini;lucas;
372;34;mai/23;Operação;seca;04/05/2023;6;BS;noturno;Culex spp.;2;Diptera;Culicidae;Culicinae;Culicini;lucas;
373;34;mai/23;Operação;seca;04/05/2023;6;Sugador/Puçá;noturno;Aedes albopictus;1;Diptera;Culicidae;Culicinae;Aedini;lucas;
374;35;ago/23;Operação;seca;28/08/2023;1;Sugador/Puçá;noturno;Simulium spp.;9;Diptera;Simuliidae;Simuliinae;;;
375;35;ago/23;Operação;seca;28/08/2023;1;Sugador/Puçá;noturno;Aedes fluviatilis ;1;Diptera;Culicidae;Culicinae;Aedini;lucas;
376;35;ago/23;Operação;seca;28/08/2023;1;BS;noturno;Anopheles (Nys.) benarrochi;1;Diptera;Culicidae;Anophelinae;Anophelini;;
377;35;ago/23;Operação;seca;29/08/2023;2;Sugador/Puçá;noturno;Simulium spp.;3;Diptera;Simuliidae;Simuliinae;;;
378;35;ago/23;Operação;seca;30/08/2023;4;Sugador/Puçá;noturno;Aedes scapularis;2;Diptera;Culicidae;Culicinae;Aedini;lucas;
379;35;ago/23;Operação;seca;30/08/2023;4;CDC;noturno;Aedes scapularis;4;Diptera;Culicidae;Culicinae;Aedini;lucas;
380;35;ago/23;Operação;seca;30/08/2023;4;CDC;noturno;Phlebotominae sp.;2;Diptera;Psychodidae;Phlebotominae;;;
381;35;ago/23;Operação;seca;28/08/2023;5;Sugador/Puçá;matutino;Simulium spp.;2;Diptera;Simuliidae;Simuliinae;;;
382;35;ago/23;Operação;seca;27/08/2023;5;Sugador/Puçá;noturno;Aedes albopictus;4;Diptera;Culicidae;Culicinae;Aedini;lucas;
383;35;ago/23;Operação;seca;27/08/2023;5;Sugador/Puçá;noturno;Culex spp.;1;Diptera;Culicidae;Culicinae;Culicini;;
384;35;ago/23;Operação;seca;27/08/2023;5;Sugador/Puçá;noturno;Sabethes (Sabethes) albiprivus;1;Diptera;Culicidae;Culicinae;Sabethini;;
385;35;ago/23;Operação;seca;26/08/2023;6;CDC;noturno;Phlebotominae sp.;4;Diptera;Psychodidae;Phlebotominae;;;
386;36;nov/23;Operação;Chuva;04/11/2023;1;CDC;noturno;Phlebotominae sp.;3;Diptera;Psychodidae;Phlebotominae;;;
387;36;nov/23;Operação;Chuva;04/11/2023;1;Sugador/Puçá;matutino;Aedes albopictus;1;Diptera;Culicidae;Culicinae;Aedini;lucas;
388;36;nov/23;Operação;Chuva;05/11/2023;2;Sugador/Puçá;matutino;Aedes albopictus;3;Diptera;Culicidae;Culicinae;Aedini;lucas;
389;36;nov/23;Operação;Chuva;05/11/2023;2;BS;noturno;Anopheles (Nys.) benarrochi;1;Diptera;Culicidae;Anophelinae;Anophelini;lucas;
390;36;nov/23;Operação;Chuva;07/11/2023;3;Sugador/Puçá;matutino;Aedes albopictus;5;Diptera;Culicidae;Culicinae;Aedini;lucas;
391;36;nov/23;Operação;Chuva;06/11/2023;3;CDC;noturno;Mansonia spp.;1;Diptera;Culicidae;Culicinae;Mansoninii;lucas;
392;36;nov/23;Operação;Chuva;02/04/2023;4;BS;noturno;Aedes fulvithorax;2;Diptera;Culicidae;Culicinae;Aedini;lucas;
393;36;nov/23;Operação;Chuva;06/11/2023;6;Sugador/Puçá;noturno;Aedes albopictus;12;Diptera;Culicidae;Culicinae;Aedini;lucas;
394;37;fev/24;Operação;Chuva;12/02/2024;4;Sugador/Puçá;noturno;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;lucas;
395;37;fev/24;Operação;Chuva;12/02/2024;4;Sugador/Puçá;matutino;Sabethes (Sabethes) albiprivus;1;Diptera;Culicidae;Culicinae;Sabethini;;
396;37;fev/24;Operação;Chuva;12/02/2024;4;Sugador/Puçá;matutino;Aedes albopictus;2;Diptera;Culicidae;Culicinae;Aedini;lucas;
397;37;fev/24;Operação;Chuva;12/02/2024;4;Sugador/Puçá;matutino;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;lucas;
398;37;fev/24;Operação;Chuva;12/02/2024;4;BS;noturno;Culex spp.;2;Diptera;Culicidae;Culicinae;Culicini;;
399;37;fev/24;Operação;Chuva;12/02/2024;4;CDC;noturno;Anopheles (Nys.) benarrochi;1;Diptera;Culicidae;Anophelinae;Anophelini;lucas;
400;38;mai/24;Operação;Seca;06/05/2024;1;CDC;noturno;Aedes argyrothorax;1;Diptera;Culicidae;Culicinae;Aedini;lucas;
401;38;mai/24;Operação;Seca;06/05/2024;6;BS;noturno;Anopheles (Nys.) benarrochi;3;Diptera;Culicidae;Anophelinae;Anophelini;lucas;
402;38;mai/24;Operação;Seca;06/05/2024;6;Sugador/Puçá;noturno;Aedes serratus;1;Diptera;Culicidae;Culicinae;Aedini;lucas;
403;39;ago/24;Operação;Seca;22/08/2024;2;BS;noturno;Anopheles (Nys.) spp.;2;Diptera;Culicidae;Anophelinae;Anophelini;alex;
404;39;ago/24;Operação;Seca;21/08/2024;4;BS;noturno;Anopheles (Nys.) benarrochi;5;Diptera;Culicidae;Anophelinae;Anophelini;alex;
405;39;ago/24;Operação;Seca;21/08/2024;4;BS;noturno;Anopheles (Nys.) darlingi;4;Diptera;Culicidae;Anophelinae;Anophelini;alex;
406;39;ago/24;Operação;Seca;21/08/2024;4;Sugador/Puçá;noturno;Anopheles (Nys.) benarrochi;1;Diptera;Culicidae;Anophelinae;Anophelini;alex;
407;39;ago/24;Operação;Seca;21/08/2024;4;Sugador/Puçá;noturno;Anopheles (Nys.) darlingi;2;Diptera;Culicidae;Anophelinae;Anophelini;alex;
408;39;ago/24;Operação;Seca;24/08/2024;5;CDC;noturno;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;alex;
409;39;ago/24;Operação;Seca;25/08/2024;5;CDC;noturno;Anopheles (Nys.) darlingi;1;Diptera;Culicidae;Anophelinae;Anophelini;alex;
410;39;ago/24;Operação;Seca;23/08/2024;6;Sugador/Puçá;noturno;Anopheles (Nys.) darlingi;2;Diptera;Culicidae;Anophelinae;Anophelini;alex;
411;39;ago/24;Operação;Seca;23/08/2024;6;BS;noturno;Anopheles (Nys.) darlingi;2;Diptera;Culicidae;Anophelinae;Anophelini;alex;
412;39;ago/24;Operação;Seca;23/08/2024;6;BS;noturno;Anopheles (Nys.) triannulatus;1;Diptera;Culicidae;Anophelinae;Anophelini;alex;
413;39;ago/24;Operação;Seca;23/08/2024;6;BS;noturno;Culex spp.;1;Diptera;Culicidae;Culicinae;Culicini;alex;
414;40;nov/24;Operação;Chuva;03/11/2024;1;Sugador/Puçá;matutino;Haemagogus (Con.) leucocelaenus;1;Diptera;Culicidae;Culicinae;Aedini;alex;
415;40;nov/24;Operação;Chuva;03/11/2024;1;Sugador/Puçá;matutino;Aedes albopictus;5;Diptera;Culicidae;Culicinae;Aedini;alex;
416;40;nov/24;Operação;Chuva;02/11/2024;1;BS;noturno;Aedes albopictus;1;Diptera;Culicidae;Culicinae;Aedini;alex;
417;40;nov/24;Operação;Chuva;02/11/2024;1;BS;noturno;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;alex;
418;40;nov/24;Operação;Chuva;02/11/2024;1;Sugador/Puçá;matutino;Aedes albopictus;2;Diptera;Culicidae;Culicinae;Aedini;alex;
419;40;nov/24;Operação;Chuva;05/11/2024;2;Sugador/Puçá;matutino;Aedes albopictus;7;Diptera;Culicidae;Culicinae;Aedini;alex;
420;40;nov/24;Operação;Chuva;05/11/2024;3;CDC;noturno;Anopheles (Nys.) benarrochi;1;Diptera;Culicidae;Anophelinae;Anophelini;alex;
421;40;nov/24;Operação;Chuva;04/11/2024;4;Sugador/Puçá;matutino;Haemagogus (Con.) leucocelaenus;1;Diptera;Culicidae;Culicinae;Aedini;alex;
422;40;nov/24;Operação;Chuva;04/11/2024;4;Sugador/Puçá;matutino;Aedes albopictus;4;Diptera;Culicidae;Culicinae;Aedini;alex;
423;40;nov/24;Operação;Chuva;03/11/2024;4;BS;noturno;Culex spp.;1;Diptera;Culicidae;Culicinae;Culicini;alex;
424;40;nov/24;Operação;Chuva;06/11/2024;6;Sugador/Puçá;matutino;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;alex;
425;40;nov/24;Operação;Chuva;05/11/2024;6;BS;noturno;Anopheles (Nys.) benarrochi;1;Diptera;Culicidae;Anophelinae;Anophelini;alex;
426;40;nov/24;Operação;Chuva;05/11/2024;6;BS;noturno;Culex spp.;1;Diptera;Culicidae;Culicinae;Culicini;alex;
427;40;nov/24;Operação;Chuva;05/11/2024;6;BS;noturno;Uranotenia spp.;1;Diptera;Culicidae;Culicinae;Uranotaeniini;alex;
428;40;nov/24;Operação;Chuva;05/11/2024;6;BS;noturno;Psorophora (Jan.) lutzii;1;Diptera;Culicidae;Culicinae;Aedini;alex;
429;41;fev/25;Operação;Chuva;06/02/2025;4;Sugador/Puçá;noturno;Aedes albopictus;3;Diptera;Culicidae;Culicinae;Aedini;alex;
430;40;fev/25;Operação;Chuva;06/02/2025;4;Sugador/Puçá;noturno;Oclerotatus serratus;3;Diptera;Culicidae;Culicinae;Aedini;alex;
431;40;fev/25;Operação;Chuva;05/02/2025;6;Shannon;noturno;Aedes albopictus;4;Diptera;Culicidae;Culicinae;Aedini;alex;
432;40;fev/25;Operação;Chuva;05/02/2025;6;Shannon;noturno;Uranotenia calosomata;5;Diptera;Culicidae;Culicinae;Uranotaeniini;alex;
433;40;fev/25;Operação;Chuva;05/02/2025;6;Sugador/Puçá;matutino;Culex nigripalpis;3;Diptera;Culicidae;Culicinae;Culicini;alex;
434;40;fev/25;Operação;Chuva;03/02/2025;5;Sugador/Puçá;noturno;Sabethes chloropterus;1;Diptera;Culicidae;Culicinae;Sabethini;alex;
435;40;fev/25;Operação;Chuva;04/02/2025;2;Shannon;noturno;Oclerotatus serratus;2;Diptera;Culicidae;Culicinae;Aedini;alex;
436;40;fev/25;Operação;Chuva;04/02/2025;2;Shannon;noturno;Simulium spp.;5;Diptera;Simuliidae;Simuliinae;;alex;
437;40;fev/25;Operação;Chuva;05/02/2025;2;Sugador/Puçá;noturno;Culex quinquefasciatus;4;Diptera;Culicidae;Culicinae;Culicini;alex;
438;40;fev/25;Operação;Chuva;05/02/2025;2;Sugador/Puçá;matutino;Culex quinquefasciatus;4;Diptera;Culicidae;Culicinae;Culicini;alex;
439;40;fev/24;Operação;Chuva;02/02/2024;1;Shannon;matutino;Sabethes chloropterus;4;Diptera;Culicidae;Culicinae;Sabethini;alex;
440;40;fev/25;Operação;Chuva;02/02/2024;1;Sugador/Puçá;noturno;Aedes albopictus;3;Diptera;Culicidae;Culicinae;Aedini;alex;
441;40;fev/25;Operação;Chuva;05/02/2024;3;Shannon;noturno;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;alex;
442;41;02/02/2025;;;;1;;Aedes albopictus;Diptera;Culicidae;Culicinae;Aedini;;;;
443;41;02/02/2025;;;;1;;Aedes albopictus;Diptera;Culicidae;Culicinae;Aedini;;;;
444;41;02/02/2025;;;;1;;Aedes albopictus;Diptera;Culicidae;Culicinae;Aedini;;;;
445;41;04/02/2025;;;;2;;Oclerotatus serratus;Diptera;Culicidae;Culicinae;Aedini;;;;
446;41;04/02/2025;;;;2;;Oclerotatus serratus;Diptera;Culicidae;Culicinae;Aedini;;;;
447;41;04/02/2025;;;;2;;Simulium spp.;Diptera;Simuliidae;Simuliinae;;;;;
448;41;04/02/2025;;;;2;;Simulium spp.;Diptera;Simuliidae;Simuliinae;;;;;
449;41;04/02/2025;;;;2;;Simulium spp.;Diptera;Simuliidae;Simuliinae;;;;;
450;41;04/02/2025;;;;2;;Simulium spp.;Diptera;Simuliidae;Simuliinae;;;;;
451;41;04/02/2025;;;;2;;Simulium spp.;Diptera;Simuliidae;Simuliinae;;;;;
452;41;04/02/2025;;;;2;;Culex quinquefasciatus;Diptera;Culicidae;Culicinae;Culicini;;;;
453;41;04/02/2025;;;;2;;Culex quinquefasciatus;Diptera;Culicidae;Culicinae;Culicini;;;;
454;41;04/02/2025;;;;2;;Culex quinquefasciatus;Diptera;Culicidae;Culicinae;Culicini;;;;
455;41;04/02/2025;;;;2;;Culex quinquefasciatus;Diptera;Culicidae;Culicinae;Culicini;;;;
456;41;04/02/2025;;;;2;;Culex quinquefasciatus;Diptera;Culicidae;Culicinae;Culicini;;;;
457;41;04/02/2025;;;;2;;Culex quinquefasciatus;Diptera;Culicidae;Culicinae;Culicini;;;;
458;41;04/02/2025;;;;2;;Culex quinquefasciatus;Diptera;Culicidae;Culicinae;Culicini;;;;
459;41;04/02/2025;;;;2;;Culex quinquefasciatus;Diptera;Culicidae;Culicinae;Culicini;;;;
460;41;05/02/2025;;;;2;;Aedes albopictus;Diptera;Culicidae;Culicinae;Aedini;;;;
461;41;05/02/2025;;;;3;;Aedes scapularis;Diptera;Culicidae;Culicinae;Aedini;;;;
462;41;05/02/2025;;;;3;;Culex nigripalpis;Diptera;Culicidae;Culicinae;Culicini;;;;
463;41;06/02/2025;;;;4;;Aedes albopictus;Diptera;Culicidae;Culicinae;Aedini;;;;
464;41;06/02/2025;;;;4;;Aedes albopictus;Diptera;Culicidae;Culicinae;Aedini;;;;
465;41;06/02/2025;;;;4;;Aedes albopictus;Diptera;Culicidae;Culicinae;Aedini;;;;
466;41;06/02/2025;;;;4;;Oclerotatus serratus;Diptera;Culicidae;Culicinae;Aedini;;;;
467;41;03/02/2025;;;;5;;Sabethes chloropterus;Diptera;Culicidae;Culicinae;Sabethini;;;;
468;41;04/02/2025;;;;5;;Sabethes chloropterus;Diptera;Culicidae;Culicinae;Sabethini;;;;
469;41;03/02/2025;;;;5;;Sabethes chloropterus;Diptera;Culicidae;Culicinae;Sabethini;;;;
471;41;03/02/2025;;;;5;;Aedes albopictus;Diptera;Culicidae;Culicinae;Aedini;;;;
472;41;03/02/2025;;;;5;;Aedes albopictus;Diptera;Culicidae;Culicinae;Aedini;;;;
473;41;06/02/2025;;;;6;;Aedes albopictus;Diptera;Culicidae;Culicinae;Aedini;;;;
474;41;06/02/2025;;;;6;;Uranotenia calosomata;Diptera;Culicidae;Culicinae;Uranotaeniini;;;;
475;41;06/02/2025;;;;6;;Culex nigripalpis;Diptera;Culicidae;Culicinae;Culicini;;;;
476;42;27/05/2025;;;;1;;;Oclerotatus serratus;15;Diptera;Culicidae;;;;;
477;43;31/05/2025;;;;4;;;Aedes albopictus;1;;;;;;;